#Notes:;;;;
#Stalage + and Stalage - are upper and lower 95% CI;;;;
#Age in yrs BP = years before 1950 CE;;;;
Depth from top of stal (mm);Depth (cm);Age (yrs BP);Stalage +;Stalage -
128,75;12,875;6158;6407;6078
129,25;12,925;6179;6428;6098
129,75;12,975;6199;6448;6118
130,25;13,025;6220;6468;6138
130,75;13,075;6241;6486;6159
131,25;13,125;6262;6504;6179
131,75;13,175;6282;6523;6199
132,25;13,225;6304;6542;6219
132,75;13,275;6325;6561;6240
133,25;13,325;6346;6580;6260
133,75;13,375;6367;6599;6280
134,25;13,425;6387;6618;6301
134,75;13,475;6407;6635;6321
135,25;13,525;6427;6653;6341
135,75;13,575;6447;6670;6361
136,25;13,625;6467;6687;6381
136,75;13,675;6487;6705;6401
137,25;13,725;6507;6723;6421
137,75;13,775;6527;6741;6441
138,25;13,825;6547;6760;6460
138,75;13,875;6567;6779;6480
139,25;13,925;6587;6799;6500
139,75;13,975;6607;6819;6520
140,25;14,025;6627;6840;6540
140,75;14,075;6647;6861;6560
141,25;14,125;6667;6882;6579
141,75;14,175;6687;6903;6599
142,25;14,225;6707;6923;6619
142,75;14,275;6728;6943;6638
143,25;14,325;6748;6963;6658
143,75;14,375;6768;6984;6677
144,25;14,425;6788;7005;6697
144,75;14,475;6808;7027;6717
145,25;14,525;6828;7050;6737
145,75;14,575;6848;7073;6757
146,25;14,625;6868;7096;6776
146,75;14,675;6888;7119;6796
147,25;14,725;6907;7141;6816
147,75;14,775;6926;7164;6835
148,25;14,825;6946;7185;6855
148,75;14,875;6965;7207;6874
149,25;14,925;6985;7227;6894
149,75;14,975;7004;7249;6913
150,25;15,025;7023;7270;6933
150,75;15,075;7041;7293;6952
151,25;15,125;7059;7316;6971
151,75;15,175;7078;7339;6990
152,25;15,225;7096;7362;7010
152,75;15,275;7115;7385;7030
153,25;15,325;7133;7407;7049
153,75;15,375;7152;7429;7069
154,25;15,425;7171;7450;7088
154,75;15,475;7190;7470;7108
155,25;15,525;7209;7489;7127
155,75;15,575;7227;7506;7146
156,25;15,625;7246;7520;7165
156,75;15,675;7264;7532;7185
157,25;15,725;7283;7543;7204
157,75;15,775;7301;7553;7223
158,25;15,825;7319;7564;7242
158,75;15,875;7338;7574;7261
159,25;15,925;7356;7580;7280
159,75;15,975;7375;7582;7299
160,25;16,025;7394;7582;7318
160,75;16,075;7413;7582;7337
161,25;16,125;7432;7582;7356
161,75;16,175;7451;7582;7375
162,25;16,225;7469;7583;7394
162,75;16,275;7488;7588;7412
163,25;16,325;7507;7600;7431
163,75;16,375;7525;7616;7450
164,25;16,425;7544;7632;7469
164,75;16,475;7563;7648;7487
165,25;16,525;7581;7664;7506
165,75;16,575;7600;7680;7525
166,25;16,625;7619;7698;7543
166,75;16,675;7638;7716;7562
167,25;16,725;7657;7735;7581
167,75;16,775;7676;7754;7599
168,25;16,825;7695;7772;7618
168,75;16,875;7713;7790;7636
169,25;16,925;7732;7809;7654
169,75;16,975;7750;7827;7672
170,25;17,025;7769;7847;7690
170,75;17,075;7788;7867;7708
171,25;17,125;7807;7887;7726
171,75;17,175;7825;7907;7744
172,25;17,225;7844;7928;7762
172,75;17,275;7862;7948;7780
173,25;17,325;7880;7968;7797
173,75;17,375;7899;7988;7815
174,25;17,425;7917;8009;7833
174,75;17,475;7935;8029;7851
175,25;17,525;7954;8050;7869
175,75;17,575;7972;8070;7887
176,25;17,625;7990;8091;7905
176,75;17,675;8008;8111;7923
177,25;17,725;8026;8132;7941
177,75;17,775;8043;8152;7959
178,25;17,825;8061;8173;7976
178,75;17,875;8079;8193;7994
179,25;17,925;8097;8214;8012
179,75;17,975;8115;8234;8030
180,25;18,025;8133;8254;8048
180,75;18,075;8151;8275;8065
181,25;18,125;8168;8295;8083
181,75;18,175;8185;8315;8100
182,25;18,225;8202;8336;8117
182,75;18,275;8220;8356;8135
183,25;18,325;8237;8376;8152
183,75;18,375;8253;8396;8169
184,25;18,425;8270;8416;8187
184,75;18,475;8286;8436;8204
185,25;18,525;8302;8456;8221
185,75;18,575;8318;8475;8238
186,25;18,625;8334;8495;8256
186,75;18,675;8350;8514;8273
187,25;18,725;8366;8534;8291
187,75;18,775;8382;8554;8308
188,25;18,825;8398;8573;8325
188,75;18,875;8414;8593;8343
189,25;18,925;8430;8613;8360
189,75;18,975;8446;8633;8377
190,25;19,025;8462;8653;8394
190,75;19,075;8478;8673;8411
191,25;19,125;8494;8693;8429
191,75;19,175;8510;8713;8446
192,25;19,225;8527;8733;8463
192,75;19,275;8543;8753;8480
193,25;19,325;8560;8773;8498
193,75;19,375;8577;8793;8515
194,25;19,425;8593;8813;8532
194,75;19,475;8610;8833;8549
195,25;19,525;8627;8853;8566
195,75;19,575;8643;8874;8583
196,25;19,625;8660;8894;8600
196,75;19,675;8677;8915;8617
197,25;19,725;8694;8935;8634
197,75;19,775;8711;8956;8651
198,25;19,825;8728;8977;8666
198,75;19,875;8745;8997;8675
199,25;19,925;8762;9018;8684
199,75;19,975;8779;9038;8692
200,25;20,025;8796;9058;8699
200,75;20,075;8813;9078;8706
201,25;20,125;8829;9098;8713
201,75;20,175;8846;9118;8723
202,25;20,225;8863;9138;8735
202,75;20,275;8879;9158;8749
203,25;20,325;8895;9178;8760
203,75;20,375;8912;9198;8762
204,25;20,425;8928;9218;8762
204,75;20,475;8944;9237;8762
205,25;20,525;8961;9256;8762
205,75;20,575;8977;9276;8762
206,25;20,625;8993;9296;8762
206,75;20,675;9009;9317;8763
207,25;20,725;9025;9337;8773
207,75;20,775;9040;9357;8788
208,25;20,825;9057;9371;8801
208,75;20,875;9073;9380;8813
209,25;20,925;9089;9389;8822
209,75;20,975;9105;9397;8831
210,25;21,025;9121;9404;8841
210,75;21,075;9137;9411;8851
211,25;21,125;9153;9418;8863
211,75;21,175;9169;9426;8886
212,25;21,225;9185;9435;8909
212,75;21,275;9201;9444;8931
213,25;21,325;9217;9449;8953
213,75;21,375;9233;9449;8975
214,25;21,425;9249;9449;8997
214,75;21,475;9265;9449;9021
215,25;21,525;9280;9449;9044
215,75;21,575;9296;9449;9067
216,25;21,625;9313;9449;9090
216,75;21,675;9329;9452;9113
217,25;21,725;9346;9462;9135
217,75;21,775;9363;9475;9158
218,25;21,825;9379;9487;9180
218,75;21,875;9396;9497;9203
219,25;21,925;9413;9505;9226
219,75;21,975;9429;9512;9249
220,25;22,025;9446;9520;9273
220,75;22,075;9462;9528;9297
221,25;22,125;9479;9543;9321
221,75;22,175;9495;9560;9345
222,25;22,225;9512;9578;9369
222,75;22,275;9528;9595;9393
223,25;22,325;9545;9613;9416
223,75;22,375;9562;9629;9440
224,25;22,425;9579;9646;9463
224,75;22,475;9595;9663;9487
225,25;22,525;9612;9680;9511
225,75;22,575;9629;9697;9535
226,25;22,625;9647;9715;9559
226,75;22,675;9665;9732;9583
227,25;22,725;9683;9750;9607
227,75;22,775;9701;9768;9630
228,25;22,825;9720;9785;9652
228,75;22,875;9738;9803;9674
229,25;22,925;9756;9821;9695
229,75;22,975;9775;9839;9715
230,25;23,025;9794;9858;9736
230,75;23,075;9813;9876;9757
231,25;23,125;9832;9895;9777
231,75;23,175;9851;9914;9796
232,25;23,225;9871;9933;9813
232,75;23,275;9890;9951;9829
233,25;23,325;9909;9970;9845
233,75;23,375;9929;9989;9861
234,25;23,425;9948;10009;9874
234,75;23,475;9967;10029;9883
235,25;23,525;9986;10050;9891
235,75;23,575;10004;10072;9895
236,25;23,625;10023;10094;9895
236,75;23,675;10041;10117;9895
237,25;23,725;10058;10141;9895
237,75;23,775;10075;10164;9895
238,25;23,825;10093;10188;9895
238,75;23,875;10110;10211;9895
239,25;23,925;10127;10234;9899
239,75;23,975;10144;10256;9905
240,25;24,025;10161;10279;9912
240,75;24,075;10177;10302;9919
241,25;24,125;10193;10326;9934
241,75;24,175;10209;10349;9952
242,25;24,225;10225;10372;9972
242,75;24,275;10242;10395;9994
243,25;24,325;10258;10419;10017
243,75;24,375;10275;10442;10040
244,25;24,425;10292;10465;10063
244,75;24,475;10309;10488;10085
245,25;24,525;10326;10512;10107
245,75;24,575;10344;10535;10130
246,25;24,625;10362;10559;10155
246,75;24,675;10381;10582;10182
247,25;24,725;10400;10606;10210
247,75;24,775;10420;10629;10237
248,25;24,825;10441;10653;10264
248,75;24,875;10464;10676;10288
249,25;24,925;10488;10700;10312
249,75;24,975;10512;10723;10337
250,25;25,025;10537;10746;10361
250,75;25,075;10562;10770;10387
251,25;25,125;10588;10793;10414
251,75;25,175;10614;10816;10441
252,25;25,225;10640;10840;10468
252,75;25,275;10666;10863;10495
253,25;25,325;10693;10886;10522
253,75;25,375;10719;10910;10549
254,25;25,425;10745;10933;10577
254,75;25,475;10771;10957;10605
255,25;25,525;10798;10981;10633
255,75;25,575;10824;11004;10662
256,25;25,625;10851;11028;10690
256,75;25,675;10877;11052;10718
257,25;25,725;10904;11075;10745
257,75;25,775;10931;11098;10774
258,25;25,825;10958;11122;10802
258,75;25,875;10985;11145;10831
259,25;25,925;11011;11169;10859
259,75;25,975;11038;11192;10888
260,25;26,025;11064;11216;10916
260,75;26,075;11091;11240;10944
261,25;26,125;11117;11264;10972
261,75;26,175;11144;11288;11000
262,25;26,225;11171;11312;11027
262,75;26,275;11197;11335;11055
263,25;26,325;11224;11359;11083
263,75;26,375;11251;11382;11111
264,25;26,425;11277;11406;11139
264,75;26,475;11304;11429;11166
265,25;26,525;11330;11453;11194
265,75;26,575;11356;11477;11222
266,25;26,625;11382;11501;11249
266,75;26,675;11408;11526;11277
267,25;26,725;11433;11550;11304
267,75;26,775;11459;11575;11332
268,25;26,825;11484;11599;11359
268,75;26,875;11510;11622;11387
269,25;26,925;11535;11646;11414
269,75;26,975;11561;11670;11441
270,25;27,025;11587;11693;11469
270,75;27,075;11612;11717;11496
271,25;27,125;11638;11741;11524
271,75;27,175;11663;11765;11551
272,25;27,225;11688;11789;11577
272,75;27,275;11714;11812;11602
273,25;27,325;11739;11836;11627
273,75;27,375;11765;11860;11652
274,25;27,425;11791;11884;11677
274,75;27,475;11816;11909;11703
275,25;27,525;11842;11934;11729
275,75;27,575;11868;11960;11755
276,25;27,625;11893;11985;11782
276,75;27,675;11919;12010;11809
277,25;27,725;11944;12034;11837
277,75;27,775;11970;12059;11865
278,25;27,825;11996;12084;11893
278,75;27,875;12022;12110;11921
279,25;27,925;12048;12135;11949
279,75;27,975;12074;12161;11977
280,25;28,025;12100;12186;12003
280,75;28,075;12125;12210;12030
281,25;28,125;12151;12235;12056
281,75;28,175;12177;12259;12083
282,25;28,225;12202;12284;12110
282,75;28,275;12228;12310;12137
283,25;28,325;12254;12335;12165
283,75;28,375;12280;12361;12192
284,25;28,425;12306;12387;12218
284,75;28,475;12332;12412;12244
285,25;28,525;12358;12438;12269
285,75;28,575;12384;12463;12294
286,25;28,625;12411;12490;12318
286,75;28,675;12437;12516;12342
287,25;28,725;12463;12543;12366
287,75;28,775;12490;12570;12390
288,25;28,825;12516;12596;12414
288,75;28,875;12542;12622;12438
289,25;28,925;12568;12649;12462
289,75;28,975;12595;12675;12485
290,25;29,025;12621;12702;12509
290,75;29,075;12648;12729;12532
291,25;29,125;12675;12756;12555
291,75;29,175;12702;12783;12578
292,25;29,225;12729;12810;12601
292,75;29,275;12755;12836;12625
293,25;29,325;12782;12864;12648
293,75;29,375;12809;12892;12671
294,25;29,425;12836;12923;12694
294,75;29,475;12863;12956;12716
295,25;29,525;12890;12991;12739
295,75;29,575;12918;13026;12762
296,25;29,625;12946;13061;12785
296,75;29,675;12973;13095;12809
297,25;29,725;13001;13128;12834
297,75;29,775;13029;13160;12859
298,25;29,825;13057;13192;12883
298,75;29,875;13085;13223;12907
299,25;29,925;13112;13253;12932
299,75;29,975;13140;13284;12957
300,25;30,025;13168;13314;12983
300,75;30,075;13196;13344;13009
301,25;30,125;13225;13374;13035
301,75;30,175;13253;13403;13060
302,25;30,225;13281;13430;13082
302,75;30,275;13309;13456;13102
303,25;30,325;13337;13481;13125
303,75;30,375;13365;13505;13155
304,25;30,425;13393;13529;13195
304,75;30,475;13421;13553;13245
305,25;30,525;13449;13577;13300
305,75;30,575;13476;13600;13354
306,25;30,625;13504;13624;13404
306,75;30,675;13531;13648;13446
307,25;30,725;13558;13671;13483
