sample,taxon,genome
TDM013,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM013_conexibacter.fa
TDM053,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM053_conexibacter.fa
TDM052,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM052_conexibacter.fa
TDM060,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM060_conexibacter.fa
TDM049,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM049_conexibacter.fa
TDM005,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM005_conexibacter.fa
TDM014,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM014_conexibacter.fa
TDM023,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM023_conexibacter.fa
TDM015,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM015_conexibacter.fa
TDM054,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM054_conexibacter.fa
TDM024,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM024_conexibacter.fa
TDM007,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM007_conexibacter.fa
TDM034,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM034_conexibacter.fa
TDM016,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM016_conexibacter.fa
TDM008,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM008_conexibacter.fa
TDM012,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM012_conexibacter.fa
TDM022,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM022_conexibacter.fa
TDM035,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM035_conexibacter.fa
TDM006,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM006_conexibacter.fa
TDM010,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM010_conexibacter.fa
TDM045,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM045_conexibacter.fa
TDM028,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM028_conexibacter.fa
TDM025,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM025_conexibacter.fa
TDM046,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM046_conexibacter.fa
TDM020,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM020_conexibacter.fa
TDM011,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM011_conexibacter.fa
TDM039,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM039_conexibacter.fa
TDM031,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM031_conexibacter.fa
TDM002,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM002_conexibacter.fa
TDM029,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM029_conexibacter.fa
TDM004,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM004_conexibacter.fa
TDM021,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM021_conexibacter.fa
TDM040,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM040_conexibacter.fa
TDM048,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM048_conexibacter.fa
TDM018,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM018_conexibacter.fa
TDM026,conexibacter,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM026_conexibacter.fa
